dataset,model,sc_method,label,w_baseline,w_platform,w_provider,w_civic,ndcg,platform,provider,civic,jsd_raw,ild_raw,geo_ild_km_raw,poplift_raw,gini_raw,elapsed_s
foursquaretky,LightGCN,borda,random_23,1.0,0.04147500267640803,2.7787113177439293,0.17981367957966318,0.0690439245923191,0.9126352099230315,0.971287311235411,0.16317537244751137,0.08736479007696857,0.971287311235411,6.305094715973572,0.15976510168730088,0.7457900666180988,185.03598928451538
foursquaretky,LightGCN,borda,random_24,1.0,0.9477330693035887,0.3408321430647074,1.7114347876317035,0.1002089923255554,0.8827732122450804,0.8826554874669996,0.47244651255265935,0.11722678775491963,0.8826554874669996,2.0102604862491193,0.7298482363360602,0.8499176849647382,181.01892399787903
foursquaretky,LightGCN,borda,random_25,1.0,0.6263358911932462,0.25403074627734373,2.1196333625294104,0.09805488166420977,0.8706770217967114,0.8797859378907222,0.5396361994057466,0.1293229782032886,0.8797859378907222,1.7318858361172336,0.6932680708449346,0.849737808587501,182.0897991657257
foursquaretky,LightGCN,borda,random_26,1.0,2.424986135327297,0.20663780489450154,0.36837605977820165,0.11653063902672985,0.9098764309457426,0.8841948330987471,0.2518884043498634,0.09012356905425742,0.8841948330987471,4.110168297547239,1.0623581380535465,0.8679246997679257,181.40429067611694
foursquaretky,LightGCN,borda,random_27,1.0,0.44007020323868196,2.330211142566606,0.229718654194712,0.07256072634542426,0.9294023245296968,0.9649390455653043,0.1737935435078795,0.07059767547030314,0.9649390455653043,5.894681571868825,0.21043404095898827,0.7485038341081662,181.3592767715454
foursquaretky,LightGCN,borda,random_28,1.0,1.1280288177372186,0.4991568738905121,1.372814308372269,0.10097366632121574,0.8954769246364892,0.8877294538471474,0.41633428097641006,0.10452307536351083,0.8877294538471474,2.2954462031888205,0.7347867268450593,0.8456857458297972,182.7482807636261
foursquaretky,LightGCN,borda,random_29,1.0,0.6963120348822378,0.33450852390780583,1.9691794412099566,0.09768899462003813,0.8756386551211018,0.8819793375009949,0.5175723375165275,0.12436134487889818,0.8819793375009949,1.812486099872512,0.6916026746754311,0.8477517330469331,181.20720958709717
foursquaretky,LightGCN,borda,random_30,1.0,1.6256817189416508,0.027008213143088065,1.3473100679152612,0.10697579072173766,0.8898049755930099,0.8767568370102389,0.39456718956066594,0.11019502440699014,0.8767568370102389,2.5058118513899785,0.8655148002612687,0.8626948410403539,181.36112189292908
foursquaretky,LightGCN,borda,random_31,1.0,0.2239225946365167,2.596258857414478,0.17981854794900584,0.07027254071593994,0.9224381873321532,0.9690432683216118,0.16756611087189266,0.07756181266784676,0.9690432683216118,6.162009632297821,0.1726817362155373,0.7464563978159479,181.50606846809387
foursquaretky,LightGCN,borda,random_32,1.0,0.9935248457341697,0.18535415101699973,1.8211210032488307,0.10027413935533108,0.8788796305808341,0.8785019342964027,0.48204732132660477,0.12112036941916594,0.8785019342964027,1.9693897336420436,0.7460231247815676,0.854320112357019,181.3317379951477
foursquaretky,LightGCN,borda,random_33,1.0,1.1003276778589908,0.3131955552470993,1.58647676689391,0.10160299912807357,0.8866511153592292,0.8820299874309607,0.4466750936719084,0.11334888464077071,0.8820299874309607,2.1342740886115372,0.7530517408311679,0.8515090088398537,181.27874732017517
foursquaretky,LightGCN,borda,random_34,1.0,0.5098546523982519,0.4377863184986813,2.052359029103067,0.09534668764073807,0.8714038691509806,0.8850242275304572,0.5375712266420104,0.1285961308490194,0.8850242275304572,1.7336056863178637,0.6636503000514239,0.8437206245728405,181.36735081672668
foursquaretky,LightGCN,borda,random_35,1.0,0.6020910781310969,1.4865721914394034,0.9113367304294998,0.08159262947867939,0.9228162883175153,0.9405083287929028,0.26442230052644133,0.07718371168248468,0.9405083287929028,3.6955158768630674,0.38654353919032514,0.7828473792124494,185.3054449558258
foursquaretky,LightGCN,borda,random_36,1.0,1.5800020251711189,1.0992908289041357,0.3207071459247456,0.09778998494301297,0.9365210455678463,0.9207376926637657,0.22049879993154523,0.06347895443215368,0.9207376926637657,4.512783506215526,0.6716376844397681,0.8134235844592819,185.16512274742126
