dataset,model,normalization,label,relevance,calibration,diversity,geo,ndcg,platform,provider,civic,jsd_raw,ild_raw,geo_ild_km_raw,poplift_raw,gini_raw,elapsed_s
foursquaretky,LightGCN,bounded,random_19,1.0,0.850850586661415,1.6280391035284898,0.5211103098100951,0.11494509200238516,0.8459953709099752,0.8988553891897916,0.23648363573741546,0.15400462909002482,0.8988553891897916,4.005432902180054,1.142253790960467,0.8913183924534537,24.35980200767517
foursquaretky,LightGCN,bounded,random_20,1.0,2.2338144869183196,0.0914516587800896,0.6747338543015913,0.11749800571495213,0.8833117053838337,0.8734583804361451,0.29652736769851373,0.1166882946161663,0.8734583804361451,3.370034818706976,1.1537005762948,0.8904813476833875,24.349008321762085
foursquaretky,LightGCN,bounded,random_21,1.0,1.481883409085342,1.0461382382025834,0.47197835271207467,0.11716431232261577,0.8697726354013059,0.8918604782413659,0.2464301881980114,0.13022736459869413,0.8918604782413659,3.935918346479705,1.1583100971170168,0.8898472365130269,24.515522241592407
foursquaretky,LightGCN,bounded,random_22,1.0,0.2193800590811564,2.634889428936235,0.14573051198260872,0.11095893208775127,0.8167730066668071,0.9127835104526532,0.19251581799720502,0.1832269933331929,0.9127835104526532,5.110807961640295,1.118774251493798,0.8911488054556242,24.34198260307312
foursquaretky,LightGCN,bounded,random_23,1.0,0.04147500267640803,2.7787113177439293,0.17981367957966318,0.10992003155963267,0.8043748322378371,0.913669960211893,0.19262977898123462,0.19562516776216288,0.913669960211893,5.085543040595232,1.1059076540355433,0.8922937805583303,24.447718620300293
foursquaretky,LightGCN,bounded,random_24,1.0,0.9477330693035887,0.3408321430647074,1.7114347876317035,0.11611897196687106,0.8352580480217716,0.8678309160745317,0.3800269213937571,0.16474195197822838,0.8678309160745317,2.414339994068895,1.0722031458079486,0.897591008434287,24.342916011810303
foursquaretky,LightGCN,bounded,random_25,1.0,0.6263358911932462,0.25403074627734373,2.1196333625294104,0.11561724534106654,0.8175073242153151,0.8632332402776717,0.4182106389639096,0.1824926757846849,0.8632332402776717,2.153592505044972,1.0492387884210326,0.9003435300832914,24.277178525924683
foursquaretky,LightGCN,bounded,random_26,1.0,2.424986135327297,0.20663780489450154,0.36837605977820165,0.11705793727152194,0.8893888574437527,0.8791108804630493,0.2629312117173023,0.11061114255624728,0.8791108804630493,3.8459241970624807,1.1727043490730935,0.8889657296071259,24.434558391571045
foursquaretky,LightGCN,bounded,random_27,1.0,0.44007020323868196,2.330211142566606,0.229718654194712,0.11174560347668308,0.8295440144604016,0.9092093708502332,0.20294228219349622,0.17045598553959837,0.9092093708502332,4.805511936368932,1.128920190124197,0.8904180342027983,24.320884227752686
foursquaretky,LightGCN,bounded,random_28,1.0,1.1280288177372186,0.4991568738905121,1.372814308372269,0.11750014765794588,0.8449219304032173,0.8742373087271832,0.3408141090955226,0.15507806959678275,0.8742373087271832,2.720784323734357,1.099666426101541,0.8956777095991648,24.321826934814453
foursquaretky,LightGCN,bounded,random_29,1.0,0.6963120348822378,0.33450852390780583,1.9691794412099566,0.11583058222122085,0.8225605059925087,0.8656981120268702,0.4043107042343628,0.1774394940074913,0.8656981120268702,2.2391440123258874,1.0530596294664702,0.8995495204548356,24.3016300201416
foursquaretky,LightGCN,bounded,random_30,1.0,1.6256817189416508,0.027008213143088065,1.3473100679152612,0.11638635726901796,0.86045682931127,0.8649529749962198,0.3560786210139217,0.13954317068872996,0.8649529749962198,2.646426315761882,1.0960157538033342,0.8947054007976147,24.557697296142578
foursquaretky,LightGCN,bounded,random_31,1.0,0.2239225946365167,2.596258857414478,0.17981854794900584,0.11082498769582862,0.8164441973048452,0.9119732215412936,0.19486785062175388,0.1835558026951548,0.9119732215412936,5.030837415250416,1.1192518790810368,0.8914305992624693,24.348642349243164
foursquaretky,LightGCN,bounded,random_32,1.0,0.9935248457341697,0.18535415101699973,1.8211210032488307,0.11526757523316755,0.8356845016677348,0.8640133137281563,0.3962546585318147,0.16431549833226522,0.8640133137281563,2.3037072359865474,1.0620520982804826,0.8976856406828543,24.38827133178711
foursquaretky,LightGCN,bounded,random_33,1.0,1.1003276778589908,0.3131955552470993,1.58647676689391,0.11618168766109976,0.8416740478745319,0.8686248924694991,0.36754770580770907,0.1583259521254681,0.8686248924694991,2.5030977426934737,1.0799052598774486,0.8965804712085139,24.315977334976196
foursquaretky,LightGCN,bounded,random_34,1.0,0.5098546523982519,0.4377863184986813,2.052359029103067,0.11541849364828193,0.8120491424074011,0.8670183909131892,0.4066741036425675,0.18795085759259889,0.8670183909131892,2.200310905731284,1.0521777339166978,0.9010577782450975,24.37885355949402
foursquaretky,LightGCN,bounded,random_35,1.0,0.6020910781310969,1.4865721914394034,0.9113367304294998,0.11590848704632209,0.8280338892135872,0.8933962132032978,0.27262222055090546,0.17196611078641275,0.8933962132032978,3.444311865281281,1.1316008331076148,0.8957431260186111,24.563833236694336
foursquaretky,LightGCN,bounded,random_36,1.0,1.5800020251711189,1.0992908289041357,0.3207071459247456,0.11603165932038027,0.8745334677123952,0.8944589808296171,0.23020904902395575,0.12546653228760485,0.8944589808296171,4.255708735814455,1.1600018154717275,0.888748075435421,24.467711210250854
foursquaretky,LightGCN,bounded,random_37,1.0,0.45870639345964936,1.409044319969842,1.1322492865705085,0.11617271926934872,0.8176267750738309,0.8902577000825553,0.29188041065065484,0.1823732249261692,0.8902577000825553,3.146443692778814,1.1192036705216413,0.8975950641020827,24.43940019607544
foursquaretky,LightGCN,bounded,random_38,1.0,0.9125973555395739,0.7967963587281275,1.2906062857322986,0.11731410765674162,0.8374958080198611,0.8799038326341283,0.325081356319457,0.1625041919801389,0.8799038326341283,2.862766140836206,1.1064654088235422,0.8961298414534311,24.41285753250122
foursquaretky,LightGCN,bounded,random_39,1.0,0.4086881768703151,2.367131067255523,0.22418075587416192,0.11128025152139663,0.8277372532830956,0.9095877139794745,0.20178113351653357,0.1722627467169044,0.9095877139794745,4.836472240083132,1.1293940358210075,0.890570647479853,24.458350896835327
foursquaretky,LightGCN,percentile_rank,corner_platform,1.0,3.0,0.0,0.0,0.10418368040941767,0.9732699290623585,0.901409716406981,0.22589154083940882,0.02673007093764147,0.901409716406981,4.64350017114243,0.7923965072342303,0.8265966938796968,35.7010600566864
foursquaretky,LightGCN,percentile_rank,corner_provider,1.0,0.0,3.0,0.0,0.0689360114845629,0.9030452147119827,0.9765359434918325,0.15443114712904435,0.09695478528801721,0.9765359434918325,6.646779452885607,0.11918164252913685,0.7495773092897324,35.805718421936035
foursquaretky,LightGCN,percentile_rank,corner_civic,1.0,0.0,0.0,3.0,0.09495916448199625,0.8240214652582682,0.8665037869874606,0.7634729457159395,0.1759785347417317,0.8665037869874606,1.108381181972438,0.6764683168188078,0.8710178975117726,35.79794692993164
foursquaretky,LightGCN,percentile_rank,centroid,1.0,1.0,1.0,1.0,0.0695875649453133,0.9591079623268657,0.9551076319560058,0.35436983969573593,0.04089203767313431,0.9551076319560058,2.6750817350905307,0.09860893206797702,0.755499635740948,36.06693387031555
foursquaretky,LightGCN,percentile_rank,random_0,1.0,0.6510370355367876,1.829326183627715,0.5196367808354976,0.06521613507625812,0.9525778067408568,0.9733616815937414,0.21515501997132655,0.04742219325914319,0.9733616815937414,4.685342897882571,0.040777234608750657,0.7381259059535701,35.85590147972107
foursquaretky,LightGCN,percentile_rank,random_1,1.0,1.5212364475792237,0.4961482457115853,0.9826153067091912,0.08233150013362535,0.9630220499502892,0.9200806686339095,0.4564018738143499,0.036977950049710856,0.9200806686339095,2.0492344632770014,0.281007441072573,0.7776565750636515,35.91079068183899
foursquaretky,LightGCN,percentile_rank,random_2,1.0,0.16827235628079754,2.117748232026584,0.7139794116926186,0.06952815659975424,0.9205079091831377,0.9728983086542881,0.2372436325597352,0.07949209081686222,0.9728983086542881,4.163590925759807,0.08765532896081689,0.7492472229941343,35.76179313659668
foursquaretky,LightGCN,percentile_rank,random_3,1.0,0.34544997508882735,0.44132908044285335,2.2132209444683193,0.0881639513358388,0.880414842337197,0.8893391911405482,0.6622976727582438,0.11958515766280296,0.8893391911405482,1.3583669712427386,0.5353855955492978,0.8303270820972308,36.049522399902344
foursquaretky,LightGCN,percentile_rank,random_4,1.0,0.7030504688366359,1.5475654977234556,0.7493840334399082,0.06576528858005722,0.9528574531286284,0.970221265360788,0.255166055135894,0.04714254687137163,0.970221265360788,3.8393004550298704,0.044941534510901486,0.7464111846305211,35.73601961135864
foursquaretky,LightGCN,percentile_rank,random_5,1.0,2.1481586042293332,0.571430584989733,0.28041081078093366,0.07242019422350136,0.9719060861139907,0.9557831160816004,0.22700272890338347,0.02809391388600933,0.9557831160816004,4.4449620955731906,0.14827075513621024,0.756881867409705,35.93699812889099
foursquaretky,LightGCN,percentile_rank,random_6,1.0,2.0507355209222773,0.02649961476008688,0.9227648643176358,0.0883375688781885,0.963910782863001,0.890065053853503,0.5218434521179582,0.03608921713699895,0.890065053853503,1.790241108015907,0.39762681466533956,0.8006735412739303,35.905916929244995
foursquaretky,LightGCN,percentile_rank,random_7,1.0,0.13810763165655338,2.0278016753241497,0.8340906930192968,0.06992349536796903,0.918756160533505,0.9718734723385997,0.2572603960649013,0.08124383946649501,0.9718734723385997,3.7936774965642446,0.09580373350091363,0.7537872426716337,36.19365406036377
foursquaretky,LightGCN,percentile_rank,random_8,1.0,1.559265890100384,0.4669447187392338,0.9737893911603821,0.08270121095505507,0.9633497885266231,0.9178126876460352,0.4617614637562544,0.03665021147337683,0.9178126876460352,2.021886273915946,0.2886685770703396,0.7787072183376269,35.8567898273468
foursquaretky,LightGCN,percentile_rank,random_9,1.0,0.4946652525630196,2.226023352477561,0.2793113949594195,0.06577402292876044,0.9460315443200809,0.9754774928938877,0.18079424666510407,0.05396845567991917,0.9754774928938877,5.606629520334111,0.04945948173304976,0.7386522415075067,35.95895028114319
foursquaretky,LightGCN,percentile_rank,random_10,1.0,1.0046075767116807,0.9492324344843563,1.0461599888039625,0.07075397897918652,0.9587303642320326,0.9515540992213581,0.37061631788643623,0.04126963576796736,0.9515540992213581,2.543983336845199,0.11285714401711151,0.7560395652924963,35.75757622718811
foursquaretky,LightGCN,percentile_rank,random_11,1.0,0.2529773020437339,1.3754590490423104,1.3715636489139558,0.07228055232737816,0.9222847998346927,0.9598407414423697,0.3798084240569808,0.0777152001653073,0.9598407414423697,2.4203961874699607,0.12916911034952241,0.7690489459018979,35.89836668968201
foursquaretky,LightGCN,percentile_rank,random_12,1.0,0.42363391369383885,2.3774948102180407,0.19887127608812077,0.06557951592994778,0.9415598074154621,0.9759465712398261,0.17312863939525236,0.05844019258453787,0.9759465712398261,5.876384729620778,0.05353941280455599,0.740318820551721,35.90864038467407
foursquaretky,LightGCN,percentile_rank,random_13,1.0,1.5625672418299346,0.552882134304649,0.8845506238654164,0.08076669595284564,0.9652243107150317,0.9271167275490694,0.42260745942566585,0.0347756892849683,0.9271167275490694,2.2332699930702318,0.24593492598050165,0.7735592991205209,35.82562446594238
foursquaretky,LightGCN,percentile_rank,random_14,1.0,0.5661103607806878,0.20518689703174256,2.22870274218757,0.08928251849967592,0.8893075962439513,0.8813218175904276,0.6780423238756764,0.11069240375604872,0.8813218175904276,1.3438838829217918,0.5422413916266198,0.8303270820972308,35.82140326499939
foursquaretky,LightGCN,percentile_rank,random_15,1.0,0.23133856964191712,0.29126505725666996,2.477396373101413,0.09270005867257981,0.8583174950718249,0.8799181618793668,0.7039207076560067,0.14168250492817513,0.8799181618793668,1.2580921211705514,0.5941651952328636,0.8453098455090989,35.92107653617859
foursquaretky,LightGCN,percentile_rank,random_16,1.0,0.9487369120310547,0.9004823638864461,1.1507807240824992,0.07331391335668666,0.9553735011600621,0.944966619642679,0.4086405845378774,0.044626498839937856,0.944966619642679,2.282743394047724,0.14720510942103537,0.7617766829143728,35.85583424568176
foursquaretky,LightGCN,percentile_rank,random_17,1.0,1.8007594311731712,0.523384869111644,0.6758556997151848,0.07973997933031442,0.9688519067451923,0.9329635126260304,0.36698654528398994,0.03114809325480777,0.9329635126260304,2.6252071559155175,0.23334742630206118,0.771581560230422,35.83396005630493
foursquaretky,LightGCN,percentile_rank,random_18,1.0,1.3864468872419153,1.2834065387054405,0.3301465740526442,0.06467177371892116,0.968564458606106,0.971046371849601,0.1979836904862403,0.031435541393894074,0.971046371849601,5.110175573779063,0.04133175286264964,0.7352153634704499,35.80418586730957
foursquaretky,LightGCN,percentile_rank,random_19,1.0,0.850850586661415,1.6280391035284898,0.5211103098100951,0.06395391586037284,0.9599995274677334,0.9724931574664849,0.2184044371456186,0.04000047253226656,0.9724931574664849,4.60327661821016,0.03366981146661481,0.7360474513132101,36.03714418411255
foursquaretky,LightGCN,percentile_rank,random_20,1.0,2.2338144869183196,0.0914516587800896,0.6747338543015913,0.0883966447907329,0.9686451269758674,0.8960491154412707,0.46124479384234734,0.03135487302413266,0.8960491154412707,2.114548104567347,0.3930114031268062,0.7975825966788587,35.65921759605408
foursquaretky,LightGCN,percentile_rank,random_21,1.0,1.481883409085342,1.0461382382025834,0.47197835271207467,0.06538876894080044,0.9689673088057155,0.9666429733994191,0.23231686901906404,0.031032691194284583,0.9666429733994191,4.315822262596798,0.055339393946939194,0.7406128564669126,35.74058747291565
foursquaretky,LightGCN,percentile_rank,random_22,1.0,0.2193800590811564,2.634889428936235,0.14573051198260872,0.06800659238623158,0.925078667512546,0.9760911306524886,0.16760039904816032,0.07492133248745407,0.9760911306524886,6.104804109140982,0.08200399863383916,0.7468483705979105,35.7862708568573
foursquaretky,LightGCN,percentile_rank,random_23,1.0,0.04147500267640803,2.7787113177439293,0.17981367957966318,0.06983311360012999,0.9070064736309181,0.9758523467470701,0.16909434304716625,0.09299352636908183,0.9758523467470701,6.0282965188792605,0.11936003667605678,0.7501550166357485,35.699000120162964
foursquaretky,LightGCN,percentile_rank,random_24,1.0,0.9477330693035887,0.3408321430647074,1.7114347876317035,0.08487256478493377,0.9287736653367826,0.894823620650263,0.6156160734957394,0.07122633466321741,0.894823620650263,1.4772455025816464,0.42900917158495866,0.8056345993525952,36.11283230781555
foursquaretky,LightGCN,percentile_rank,random_25,1.0,0.6263358911932462,0.25403074627734373,2.1196333625294104,0.08805643187885344,0.8982575457461835,0.8843007626379528,0.6708259225429597,0.10174245425381646,0.8843007626379528,1.3560743783916305,0.5216445372852355,0.8252789022659166,35.6546630859375
foursquaretky,LightGCN,percentile_rank,random_26,1.0,2.424986135327297,0.20663780489450154,0.36837605977820165,0.08949204842289495,0.9722244986980143,0.9116866261919249,0.3560028576828191,0.027775501301985705,0.9116866261919249,2.857197175243072,0.3869189470371533,0.7935934718769481,35.7086341381073
foursquaretky,LightGCN,percentile_rank,random_27,1.0,0.44007020323868196,2.330211142566606,0.229718654194712,0.06512440161088368,0.9424713951615307,0.9757583203607216,0.1759830202148929,0.05752860483846933,0.9757583203607216,5.782907833789351,0.051515536702029255,0.7394199644002493,35.8153395652771
foursquaretky,LightGCN,percentile_rank,random_28,1.0,1.1280288177372186,0.4991568738905121,1.372814308372269,0.08262136441368141,0.947586006686675,0.9100978824733125,0.5447743176058558,0.052413993313325,0.9100978824733125,1.6746399759360848,0.3452797811348006,0.7895525246532029,36.01646089553833
foursquaretky,LightGCN,percentile_rank,random_29,1.0,0.6963120348822378,0.33450852390780583,1.9691794412099566,0.08666609404051967,0.908868130065878,0.8894160596249487,0.6474572384959253,0.09113186993412202,0.8894160596249487,1.4043105869547183,0.485882112789219,0.8179132838141303,35.822988748550415
foursquaretky,LightGCN,percentile_rank,random_30,1.0,1.6256817189416508,0.027008213143088065,1.3473100679152612,0.0867946018826831,0.9516174271041103,0.8858930386030831,0.5906946654880756,0.04838257289588968,0.8858930386030831,1.536013578185196,0.4136431502652394,0.8039816894109518,35.78256630897522
foursquaretky,LightGCN,percentile_rank,random_31,1.0,0.2239225946365167,2.596258857414478,0.17981854794900584,0.06786923222453015,0.9251402270738447,0.9759618045234795,0.17115698730030796,0.07485977292615528,0.9759618045234795,5.9870344808604194,0.08143027929667217,0.7470769900936559,35.85631251335144
foursquaretky,LightGCN,percentile_rank,random_32,1.0,0.9935248457341697,0.18535415101699973,1.8211210032488307,0.08674396656757237,0.9244007354331188,0.8863047968510628,0.6409691372382275,0.07559926456688118,0.8863047968510628,1.4157509261464385,0.46453175064812596,0.8114051386813071,35.73887491226196
foursquaretky,LightGCN,percentile_rank,random_33,1.0,1.1003276778589908,0.3131955552470993,1.58647676689391,0.0839979191352173,0.9377724859014466,0.895400913551589,0.6039906663034266,0.06222751409855343,0.895400913551589,1.5071099606207907,0.4116644769572123,0.8016333075472973,35.89222288131714
foursquaretky,LightGCN,percentile_rank,random_34,1.0,0.5098546523982519,0.4377863184986813,2.052359029103067,0.08700129425364743,0.8980532071796914,0.8925312504378362,0.648626822072481,0.10194679282030866,0.8925312504378362,1.3982272718957964,0.49748617441745896,0.8215201243738124,35.76083588600159
foursquaretky,LightGCN,percentile_rank,random_35,1.0,0.6020910781310969,1.4865721914394034,0.9113367304294998,0.06728492993625186,0.9492585465045819,0.9680268157080227,0.2913551308144661,0.05074145349541811,0.9680268157080227,3.3279704110250403,0.06324629032193405,0.7527039287404147,35.70168948173523
foursquaretky,LightGCN,percentile_rank,random_36,1.0,1.5800020251711189,1.0992908289041357,0.3207071459247456,0.06589018850921385,0.9695664832063714,0.9690889917524953,0.2022293257252196,0.0304335167936286,0.9690889917524953,4.983663167295445,0.04990287128573475,0.7366974847349171,35.880340576171875
foursquaretky,LightGCN,percentile_rank,random_37,1.0,0.45870639345964936,1.409044319969842,1.1322492865705085,0.06902718254543289,0.9396066048023756,0.9644741566339476,0.3335788062462671,0.0603933951976244,0.9644741566339476,2.8108916392591783,0.08178382326147324,0.7588542738477022,35.747461795806885
foursquaretky,LightGCN,percentile_rank,random_38,1.0,0.9125973555395739,0.7967963587281275,1.2906062857322986,0.07659178248424922,0.9497081428854462,0.9327344495224666,0.4670675856103504,0.05029185711455375,0.9327344495224666,1.9562860572993652,0.21536380092656485,0.7738049674420002,35.777496337890625
foursquaretky,LightGCN,percentile_rank,random_39,1.0,0.4086881768703151,2.367131067255523,0.22418075587416192,0.06520181696932609,0.9403772385190599,0.9758092203247318,0.17496527124083425,0.05962276148094009,0.9758092203247318,5.809620351356356,0.05478220347741714,0.7401915176459102,35.79606771469116
