dataset,model,method,user_group,ndcg,arp,poplift
foursquaretky,SimpleX,cp,low,0.011032239010714996,0.011849262957679503,-0.6259968235079362
foursquaretky,SimpleX,cp,all,0.02807651349585615,0.01806816452686638,-0.4441212194354998
foursquaretky,SimpleX,cp_min_js,high,0.040090096517715224,0.015375891583452204,-0.5158835589366281
foursquaretky,SimpleX,cp_min_js,medium,0.023357844669865048,0.013530511967031214,-0.5868451361962224
foursquaretky,SimpleX,cp_min_js,low,0.011032239010714996,0.011849262957679503,-0.6259968235079362
foursquaretky,SimpleX,cp_min_js,all,0.02423917390760506,0.013563338088445093,-0.5804831582066459
foursquaretky,SimpleX,upd,high,0.0401998185504444,0.03236661911554921,-0.14170258727431514
foursquaretky,SimpleX,upd,medium,0.02622146778924112,0.03306082580440637,-0.13893733606118502
foursquaretky,SimpleX,upd,low,0.013767426243229727,0.03234617213504515,-0.13332177974281506
foursquaretky,SimpleX,upd,all,0.02652632963227948,0.03277905373276271,-0.13836727504013674
