dataset,model,method,user_group,ndcg,arp,poplift
brightkite,USG,baseline,all,0.039997291516900464,0.023847397145256265,-0.4061038924716246
brightkite,USG,cp,high,0.04316790263997173,0.026807304785894222,-0.4680300202679143
brightkite,USG,cp,medium,0.04174569658800418,0.02490589140778067,-0.4025587947612625
brightkite,USG,cp,low,0.0775411228294863,0.02488350125944586,-0.19798387845031687
brightkite,USG,cp,all,0.049189223046694104,0.025281696053736567,-0.3747380566004039
brightkite,USG,cp_min_js,high,0.04316790263997173,0.02878883291351806,-0.4279302039281657
brightkite,USG,cp_min_js,medium,0.042123393252550205,0.027511544920235186,-0.3419980075944974
brightkite,USG,cp_min_js,low,0.0775411228294863,0.02488350125944586,-0.19798387845031687
brightkite,USG,cp_min_js,all,0.04941584104542172,0.027241393786733976,-0.33038162103239477
brightkite,USG,upd,high,0.01348388911875781,0.04935873215785051,-0.05370368896069823
brightkite,USG,upd,medium,0.07424336421326029,0.04104009235936177,-0.036166478689771166
brightkite,USG,upd,low,0.05824319991648899,0.03215680100755668,-0.013273997026983645
brightkite,USG,upd,all,0.05889143633500552,0.040927162048698694,-0.035095424411399095
brightkite,SimpleX,baseline,high,0.035047066732369694,0.023294500419815282,-0.5339693591369189
brightkite,SimpleX,baseline,medium,0.03754886366521396,0.02323607612650434,-0.44168360463370365
brightkite,SimpleX,baseline,low,0.07534419153312605,0.024439546599496213,-0.21162846847824762
brightkite,SimpleX,baseline,all,0.04460756985222751,0.02348845507976506,-0.4141297283032549
brightkite,SimpleX,cp,high,0.035047066732369694,0.024315701091519724,-0.5145872857975268
brightkite,SimpleX,cp,medium,0.04486832557890574,0.02801917156451171,-0.3301033109528333
brightkite,SimpleX,cp,low,0.07462900143670469,0.024500419815281275,-0.21041684600222427
brightkite,SimpleX,cp,all,0.04885620898115832,0.026574727120067334,-0.3430628129316503
brightkite,SimpleX,cp_min_js,high,0.03977612095746162,0.02976910159529807,-0.40855058179732034
brightkite,SimpleX,cp_min_js,medium,0.04486832557890574,0.02801917156451171,-0.3301033109528333
brightkite,SimpleX,cp_min_js,low,0.06191606699691653,0.025615029387069697,-0.1780967424180631
brightkite,SimpleX,cp_min_js,all,0.047259432938219076,0.02788832913518059,-0.31539145141477715
brightkite,SimpleX,upd,high,0.01681485467338333,0.046072628043660795,-0.11244212982720647
brightkite,SimpleX,upd,medium,0.07277314060916176,0.040079065211306934,-0.0571012970025376
brightkite,SimpleX,upd,low,0.05742277651655507,0.03166141897565073,-0.026284071596466174
brightkite,SimpleX,upd,all,0.058511410603484734,0.03959424853064659,-0.06200601848625713
